, Agriculture & Allied Activities, Rural Development, Irrigation & Flood Control, Industry & Minerals, Transport," Science,Technology & Environment", General Economic Services, Social Services,Total
andhra pradesh,204494.56,424308.46000000002,1496963.0,63243.839999999997,292865.0,5973.5,123042.5,1595257.1399999999,4300000.0
arunachal pradesh,8660.3899999999994,3439.4000000000001,11755.190000000001,1562.0,25240.290000000001,5198.6899999999996,180540.64000000001,44545.410000000003,320000.0
assam,69692.149999999994,82327.5,103632.25,17075.18,85264.679999999993,14979.0,22544.98,261442.03,900000.0
bihar,222368.85000000001,93067.679999999993,172632.56,31944.66,484427.78000000003,18348.380000000001,72077.360000000001,834805.32999999996,2139000.0
chhatisgarh,162169.0,49614.0,204160.0,25661.0,144332.0,37523.0,61299.0,839970.0,1671027.0
goa,14461.75,12653.0,26659.0,14401.950000000001,36468.849999999999,7932.6499999999996,10332.200000000001,136812.29999999999,332000.0
gujarat,257797.26999999999,155710.81,932756.80000000005,118158.17,371076.52000000002,88318.350000000006,154027.42000000001,1502400.6399999999,3800000.0
haryana,88834.220000000001,94161.899999999994,98500.0,7660.0,124233.0,19195.220000000001,25439.299999999999,749435.26000000001,2033000.0
himachal pradesh,29840.0,23790.0,36619.0,2702.0,62190.0,14649.0,7217.0,99668.690000000002,330684.69
jammu and kashmir,21787.529999999999,13302.379999999999,45030.639999999999,15139.9,81940.899999999994,3682.1999999999998,100031.24000000001,228528.14000000001,660000.09999999998
jarkhand,64938.0,173645.0,70500.0,17400.0,147500.0,14400.16,126235.84,434841.0,1223275.0
karnataka,365306.0,144992.0,684341.0,65785.0,427154.0,35535.0,106680.0,1417852.0,3807002.0
kerala,96263.0,46127.0,55103.0,46628.0,113439.0,34040.0,33775.0,386639.0,1201000.0
mp,178120.60999999999,195492.73000000001,304664.66999999998,37117.419999999998,254196.20000000001,50467.339999999997,70203.100000000006,887370.42000000004,2300000.0
maharashtra,255027.32999999999,118237.86,757717.20999999996,30235.380000000001,477548.56,30538.759999999998,73888.240000000005,1955801.02,4200000.0
manipur,6640.04,6221.6599999999999,45386.43,4278.75,23983.23,6883.0,56836.099999999999,92393.649999999994,275401.96999999997
meghalaya,25180.0,21146.0,12840.0,5110.0,30004.0,5740.0,24203.0,83668.0,272818.0
mizoram,34538.75,3336.4200000000001,5376.0,2774.5,9320.1000000000004,3415.21,8293.0100000000002,54155.169999999998,162493.91
nagaland,18473.209999999999,6496.4399999999996,14863.0,5299.6499999999996,21151.860000000001,4969.0,19021.810000000001,49183.949999999997,167435.75
orissa,114663.0,31806.0,184219.0,8709.0,133226.0,31333.0,32975.5,436756.5,1230000.0
punjab,33184.459999999999,82940.570000000007,74301.600000000006,560.0,139921.0,5164.7399999999998,25349.130000000001,335985.78000000003,970246.59999999998
rajasthan,111215.66,278341.04999999999,97088.139999999999,17850.060000000001,136727.95000000001,14619.32,24776.619999999999,835320.48999999999,2750000.0
sikkim,3920.8000000000002,17281.57,14391.959999999999,714.61000000000001,7654.8199999999997,6829.3900000000003,20546.669999999998,56477.959999999999,140000.0
tamil nadu,205252.0,274887.0,63233.0,24485.0,139284.0,16178.0,141070.0,1261149.0,2353502.0
tripura,7489.1300000000001,9464.5599999999995,6091.3599999999997,3190.6900000000001,18676.169999999998,4322.9700000000003,1194.8099999999999,83345.279999999999,164305.0
up,338277.0,391899.0,240699.0,450150.0,309728.0,14600.0,93661.0,1730220.0,4239531.0
uttarakhand,52148.089999999997,56874.029999999999,53596.660000000003,2827.7199999999998,116313.62,18698.5,14506.469999999999,269693.62,780000.0
wb,86761.699999999997,143565.0,190273.01999999999,81115.779999999999,125594.0,24444.0,11258.98,1207810.1000000001,2221400.0
total states,3077504.5,2955129.02,6003393.4900000002,1101780.26,4339461.5300000003,537978.38,1641026.9199999999,17871527.879999999,44944123.019999996
aandn islands,5731.0,5956.0,1762.0,669.0,55234.0,3254.0,5668.0,52830.0,143484.0
chhatisgarh,54.0,600.0,39.0,134.0,651.0,3513.0,685.0,55040.0,66189.0
dandn haveli,958.0,1469.0,1536.0,242.0,7534.0,594.0,1063.0,13933.0,33635.0
danddiu,1518.0,1262.0,544.0,518.0,8683.0,785.0,1654.0,12133.0,32495.0
delhi,0.0,16222.0,6000.0,2490.0,354795.0,8450.0,1680.0,829179.0,1513301.0
lakshadweep,3250.0,520.0,300.0,300.0,16200.0,3900.0,890.0,10393.0,38879.0
puducherry,19399.529999999999,8251.1499999999996,3321.2600000000002,10207.5,12348.389999999999,594.80999999999995,3831.9000000000001,93320.190000000002,166400.0
