,High/Post BasicSchoolsTotal  2008-09,High/Post BasicSchoolsTotal   2009-10,High/Post BasicSchoolsWomen  2008-09,High/Post BasicSchoolsWomen   2009-10,High/Post BasicSchools% age ofTrained Teachers  2008-09
 andhra pradesh,167159.0,187709.0,68146.0,75708.0,96.0
 arunachal pradesh,2407.0,2734.0,756.0,875.0,37.0
 assam,58013.0,61012.0,14363.0,15308.0,29.0
 bihar,27406.0,25593.0,4234.0,3805.0,98.0
 chhattisgarh,15702.0,12206.0,6786.0,4455.0,73.0
 goa,3446.0,3218.0,2028.0,1930.0,100.0
 gujarat,36714.0,42829.0,9890.0,11930.0,100.0
 haryana,25888.0,36947.0,11128.0,16201.0,94.0
 himachal pradesh,6301.0,8841.0,2325.0,4316.0,100.0
 jammu & kashmir,19358.0,25370.0,7633.0,11060.0,64.0
 jharkhand,9178.0,9178.0,2700.0,2700.0,100.0
 karnataka,99106.0,109503.0,43125.0,49992.0,100.0
 kerala,101932.0,97141.0,73012.0,69332.0,100.0
 madhya pradesh,42340.0,46948.0,16554.0,19010.0,76.0
 maharashtra,187957.0,282957.0,59020.0,89020.0,96.0
 manipur,8719.0,8750.0,3516.0,3530.0,42.0
 meghalaya,4445.0,4837.0,1878.0,2543.0,36.0
 mizoram,3886.0,3853.0,1173.0,1144.0,40.0
 nagaland,6628.0,6628.0,2627.0,2627.0,25.0
odisha,63303.0,64967.0,15190.0,15757.0,92.0
 punjab,38466.0,27180.0,24153.0,17163.0,100.0
 rajasthan,81049.0,86832.0,20751.0,22528.0,83.0
 sikkim,1512.0,1512.0,657.0,657.0,55.0
 tamil nadu,31079.0,30301.0,17363.0,17248.0,100.0
 tripura,8952.0,8952.0,2417.0,2417.0,63.0
 uttar pradesh,65914.0,76917.0,12455.0,16215.0,97.0
 uttarakhand,17227.0,19122.0,4164.0,5383.0,100.0
 west bengal,63309.0,727.0,18088.0,275.0,80.0
 a. & n. islands,897.0,1029.0,506.0,591.0,99.0
 chandigarh,2172.0,1998.0,1772.0,1615.0,99.0
 d. & n. haveli,333.0,360.0,167.0,195.0,94.0
 daman and diu,261.0,261.0,124.0,124.0,100.0
 delhi,10085.0,10613.0,6777.0,7148.0,100.0
 lakshadweep,137.0,205.0,49.0,81.0,100.0
 puducherry,3066.0,3119.0,2022.0,2155.0,96.0
