,    Primary/Junior Basic Schools(#)Total  2008-09,    Primary/Junior Basic Schools(#)Total   2009-10,    Primary/Junior Basic Schools(#)Women  2008-09,    Primary/Junior Basic Schools(#)Women   2009-10,    Primary/Junior Basic Schools(#)% age ofTrained Teachers  2008-09
Andhra Pradesh,183197.0,169159.0,87711.0,83045.0,93.0
Arunachal Pradesh,6306.0,6363.0,2145.0,2174.0,11.0
Assam,89102.0,86676.0,31265.0,31562.0,64.0
Bihar ,147341.0,141298.0,53804.0,53535.0,85.0
Chhatisgarh,96314.0,107481.0,32751.0,39519.0,67.0
Goa,3812.0,3904.0,3389.0,3524.0,94.0
Gujarat,44480.0,44946.0,17474.0,17504.0,100.0
Haryana,22916.0,31574.0,11835.0,15277.0,95.0
Himachal Pradesh,30162.0,30336.0,13793.0,13484.0,100.0
Jammu & Kashmir,31899.0,59376.0,13077.0,23466.0,53.0
Jharkhand,50537.0,50537.0,18563.0,18563.0,100.0
Karnataka,62540.0,59457.0,30481.0,28883.0,100.0
Kerala,40850.0,40069.0,24405.0,30280.0,100.0
Madhya Pradesh ,292062.0,292062.0,90641.0,90641.0,90.0
Maharashtra,195350.0,199415.0,121900.0,122361.0,99.0
Manipur,7675.0,7667.0,2972.0,2959.0,36.0
Meghalaya,14034.0,14745.0,6477.0,9985.0,45.0
Mizoram,8716.0,8477.0,4488.0,4473.0,39.0
Nagaland,7956.0,7956.0,2961.0,2961.0,24.0
Orissa,117250.0,136064.0,45658.0,57306.0,88.0
Punjab,51740.0,55858.0,36760.0,38893.0,100.0
Rajasthan,117576.0,113639.0,36783.0,35656.0,86.0
Sikkim,7845.0,7845.0,4523.0,4523.0,68.0
Tamil Nadu,162792.0,124657.0,120421.0,90004.0,100.0
Tripura,7805.0,7936.0,1640.0,1727.0,74.0
Uttar Pradesh,331652.0,354976.0,141314.0,166071.0,98.0
Uttarakhand,48455.0,46345.0,24900.0,24531.0,100.0
West Bengal ,150032.0,236720.0,42866.0,107848.0,83.0
 a. & n. islands,976.0,1109.0,604.0,703.0,95.0
Chhatisgarh,368.0,385.0,332.0,345.0,96.0
 d. & n. haveli,872.0,998.0,387.0,451.0,93.0
 daman and diu,538.0,538.0,390.0,390.0,100.0
Delhi,26446.0,28166.0,18729.0,19791.0,100.0
 lakshadweep,203.0,304.0,83.0,169.0,100.0
 puducherry,3050.0,3376.0,2459.0,2811.0,99.0
